log_amount,hour,debtor_txn_count,creditor_freq,ch_batch,ch_internal,ch_internet,ch_mobile,cur_EUR,cur_GBP,cur_JPY,cur_USD
5.928285102008042,4,104,1,True,False,False,False,False,True,False,False
5.635717743742072,8,105,1,False,False,True,False,False,True,False,False
5.9868288187034535,4,98,1,False,False,False,True,False,True,False,False
6.271838731876463,14,97,1,True,False,False,False,False,False,False,True
5.583045079173381,8,101,1,True,False,False,False,False,False,False,True
7.882235670557176,14,108,1,False,False,False,True,True,False,False,False
6.287635486955669,17,102,1,False,False,False,True,False,False,False,True
6.0309736802026945,13,73,1,False,False,True,False,False,False,False,True
5.4405978738048075,0,88,1,True,False,False,False,False,True,False,False
5.946414878554258,22,93,1,True,False,False,False,False,False,False,True
7.743213324565131,1,84,1,False,False,False,True,False,True,False,False
5.443023587547295,22,105,1,False,False,False,True,False,False,False,True
5.820943094429778,11,98,1,False,False,False,True,False,False,False,True
2.6397713603489157,0,96,1,False,False,True,False,True,False,False,False
6.02494767792453,14,94,1,True,False,False,False,False,True,False,False
5.378329304517421,1,93,1,False,False,True,False,False,True,False,False
5.004483074611057,18,90,1,False,False,True,False,False,False,False,True
5.852604697724563,22,104,1,False,False,False,True,False,False,False,True
5.1047326174753715,0,91,1,True,False,False,False,False,True,False,False
4.49032034430915,15,91,1,False,True,False,False,False,True,False,False
6.255462092430458,17,113,1,False,False,False,True,False,False,False,True
5.5877354312928675,4,97,1,False,False,True,False,True,False,False,False
8.039895827438958,6,103,1,False,False,False,True,False,True,False,False
6.761433870269212,16,100,1,False,False,False,True,False,True,False,False
10.278952110846662,10,99,1,False,True,False,False,False,True,False,False
5.76091866602701,23,104,1,False,True,False,False,False,False,False,True
4.854760907317149,18,101,1,False,False,True,False,True,False,False,False
5.878715693665988,10,99,1,True,False,False,False,True,False,False,False
5.351384087484729,8,102,1,False,True,False,False,True,False,False,False
7.849113187435155,18,89,1,False,False,False,True,False,True,False,False
5.350625146171382,3,102,1,False,False,False,True,False,False,False,True
6.361026100869792,3,103,1,True,False,False,False,True,False,False,False
7.999930225686241,17,109,1,False,False,False,True,False,True,False,False
4.958218561871125,16,113,1,False,True,False,False,False,False,False,True
6.050629280275953,15,101,1,False,False,True,False,True,False,False,False
4.769582322238478,12,101,1,False,False,False,True,True,False,False,False
8.106001718934627,10,109,1,False,False,True,False,True,False,False,False
4.118874559965378,18,103,1,False,False,True,False,True,False,False,False
4.62271536520384,3,81,1,False,True,False,False,True,False,False,False
8.100552872595763,23,106,1,True,False,False,False,True,False,False,False
6.020464941041439,15,125,1,True,False,False,False,False,True,False,False
5.789072927260093,15,116,1,False,False,True,False,True,False,False,False
7.947158818013564,7,110,1,True,False,False,False,False,False,False,True
5.544513161392399,7,96,1,True,False,False,False,False,False,False,True
4.372228792193771,15,94,1,False,False,False,True,True,False,False,False
5.26279381047899,0,100,1,False,False,True,False,False,False,False,True
7.745020119383235,21,104,1,False,False,True,False,False,True,False,False
6.130291269692714,12,110,1,False,True,False,False,True,False,False,False
5.865164090991807,21,117,1,False,True,False,False,False,True,False,False
3.5984075509498608,7,92,1,False,True,False,False,False,False,False,True
5.856818247491284,23,121,1,False,False,True,False,False,False,False,True
5.494048610251909,2,112,1,True,False,False,False,True,False,False,False
5.295613714973722,8,90,1,False,True,False,False,True,False,False,False
8.2734667584866,8,84,1,False,False,False,True,False,False,False,True
8.422332910392278,6,96,1,False,False,True,False,True,False,False,False
8.388886980862862,2,111,1,False,False,True,False,True,False,False,False
5.165471453214607,0,109,1,False,True,False,False,False,True,False,False
5.5397722376335,12,96,1,False,True,False,False,True,False,False,False
5.859902642339818,18,104,1,False,False,False,True,False,False,False,True
6.103296577270926,14,109,1,False,False,False,True,False,False,False,True
10.32277403717762,2,102,1,False,False,False,True,False,True,False,False
10.499237426757661,13,123,1,False,True,False,False,False,False,False,True
7.2015436698656785,13,100,1,False,False,False,True,True,False,False,False
4.8004902285677025,1,94,1,False,True,False,False,True,False,False,False
6.047088450855979,16,106,1,False,True,False,False,True,False,False,False
6.223448903087673,5,100,1,False,True,False,False,False,True,False,False
5.670570340450087,4,103,1,False,False,True,False,True,False,False,False
6.112641815832381,14,97,1,False,True,False,False,True,False,False,False
5.87282176697721,11,81,1,False,False,True,False,True,False,False,False
5.319246809729067,18,87,1,True,False,False,False,False,True,False,False
5.872709163874876,15,103,1,True,False,False,False,False,True,False,False
6.276098227931702,16,100,1,False,False,False,True,False,False,False,True
5.689108672422408,15,110,1,True,False,False,False,False,True,False,False
6.283574302886914,4,100,1,False,False,False,True,False,True,False,False
1.791759469228055,14,91,1,False,False,True,False,False,False,False,True
6.050417183700518,14,96,1,False,False,False,True,False,True,False,False
5.749584050456808,10,108,1,False,True,False,False,True,False,False,False
5.5457632103852115,21,87,1,False,False,True,False,True,False,False,False
